IP LINLIN
DP 100.0 0.4020144511480044
DP 101.0 0.39352499141381037
DP 102.0 0.3852958191015016
DP 103.0 0.3773165179231643
DP 104.0 0.369577184047363
DP 105.0 0.3620683962727506
DP 106.0 0.3547811882012028
DP 107.0 0.34770702225909444
DP 108.0 0.3408377654280812
DP 109.0 0.334165666558322
DP 110.0 0.32768333514758474
DP 111.0 0.32138372147923044
DP 112.0 0.31526009802076427
DP 113.0 0.3093060419925559
DP 114.0 0.30351541902354745
DP 115.0 0.2978823678173486
DP 116.0 0.2924012857581266
DP 117.0 0.2870668153911906
DP 118.0 0.28187383171818914
DP 119.0 0.27681743025143424
DP 120.0 0.27189291577607555
DP 121.0 0.26709579177270176
DP 122.0 0.26242175045648813
DP 123.0 0.25786666339225306
DP 124.0 0.25342657264777074
DP 125.0 0.24909768245043026
DP 126.0 0.24487635131485094
DP 127.0 0.24075908461138823
DP 128.0 0.2367425275475999
DP 129.0 0.23282345853671713
DP 130.0 0.22899878292897838
DP 131.0 0.2252655270833661
DP 132.0 0.22162083275883268
DP 133.0 0.2180619518055348
DP 134.0 0.21458624113791958
DP 135.0 0.21119115797272964
DP 136.0 0.20787425531612833
DP 137.0 0.20463317768519743
DP 138.0 0.20146565705003106
DP 139.0 0.19836950898355352
DP 140.0 0.19534262900702615
DP 141.0 0.1923829891199845
DP 142.0 0.18948863450407066
DP 143.0 0.1866576803908954
DP 144.0 0.18388830908468967
DP 145.0 0.18117876713108522
DP 146.0 0.17852736262390395
DP 147.0 0.17593246264233936
DP 148.0 0.17339249081138203
DP 149.0 0.17090592497877832
DP 150.0 0.16847129500221858
DP 151.0 0.16608718064083164
DP 152.0 0.16375220954541805
DP 153.0 0.16146505534218467
DP 154.0 0.15922443580505452
DP 155.0 0.15702911111191445
DP 156.0 0.15487788218043413
DP 157.0 0.15276958907934374
DP 158.0 0.15070310951129431
DP 159.0 0.14867735736364754
DP 160.0 0.14669128132374856
DP 161.0 0.1447438635554325
DP 162.0 0.1428341184336957
DP 163.0 0.1409610913346365
DP 164.0 0.1391238574779293
DP 165.0 0.13732152081924892
DP 166.0 0.13555321299020162
DP 167.0 0.13381809228345465
DP 168.0 0.13211534268088007
DP 169.0 0.13044417292264712
DP 170.0 0.1288038156153075
DP 171.0 0.12719352637702283
DP 172.0 0.12561258301818137
DP 173.0 0.12406028475574286
DP 174.0 0.1225359514597387
DP 175.0 0.12103892293043492
DP 176.0 0.1195685582047444
DP 177.0 0.1181242348905459
DP 178.0 0.11670534852763789
DP 179.0 0.11531131197411851
DP 180.0 0.11394155481704497
DP 181.0 0.11259552280628367
DP 182.0 0.11127267731051561
DP 183.0 0.10997249479441523
DP 184.0 0.10869446631606725
DP 185.0 0.10743809704373407
DP 186.0 0.10620290579112857
DP 187.0 0.10498842457038882
DP 188.0 0.10379419816199023
DP 189.0 0.10261978370086751
DP 190.0 0.10146475027805314
DP 191.0 0.10032867855717358
DP 192.0 0.09921116040517378
DP 193.0 0.0981117985366722
DP 194.0 0.09703020617137507
DP 195.0 0.09596600670400664
DP 196.0 0.09491883338623627
DP 197.0 0.09388832902010827
DP 198.0 0.09287414566250225
DP 199.0 0.09187594434017424
DP 200.0 0.09089339477494858
DP 201.0 0.08992617511865064
DP 202.0 0.08897397169738851
DP 203.0 0.08803647876480981
DP 204.0 0.08711339826397634
DP 205.0 0.08620443959751466
DP 206.0 0.08530931940571704
DP 207.0 0.0844277613522801
DP 208.0 0.08355949591738339
DP 209.0 0.08270426019782232
DP 210.0 0.08186179771392282
DP 211.0 0.08103185822297654
DP 212.0 0.0802141975389467
DP 213.0 0.07940857735820558
DP 214.0 0.07861476509107473
DP 215.0 0.07783253369894827
DP 216.0 0.07706166153678999
DP 217.0 0.07630193220080234
DP 218.0 0.07555313438107528
DP 219.0 0.07481506171902964
DP 220.0 0.07408751266947847
DP 221.0 0.07337029036713616
DP 222.0 0.07266320249741308
DP 223.0 0.07196606117133908
DP 224.0 0.07127868280446654
DP 225.0 0.07060088799960905
DP 226.0 0.06993250143327781
DP 227.0 0.06927335174568361
DP 228.0 0.06862327143417712
DP 229.0 0.06798209675000565
DP 230.0 0.06734966759826916
DP 231.0 0.06672582744096292
DP 232.0 0.06611042320299904
DP 233.0 0.06550330518110245
DP 234.0 0.06490432695548214
DP 235.0 0.06431334530418117
DP 236.0 0.06373022012001364
DP 237.0 0.06315481432999963
DP 238.0 0.06258699381721296
DP 239.0 0.06202662734495981
DP 240.0 0.06147358648320909
DP 241.0 0.06092774553719883
DP 242.0 0.06038898147814545
DP 243.0 0.05985717387598551
DP 244.0 0.05933220483408244
DP 245.0 0.05881395892583289
DP 246.0 0.058302323133110075
DP 247.0 0.057797186786483594
DP 248.0 0.057298441507157655
DP 249.0 0.056805981150571366
DP 250.0 0.05631970175160739
DP 251.0 0.05583950147135659
DP 252.0 0.05536528054538878
DP 253.0 0.05489694123348088
DP 254.0 0.05443438777075612
DP 255.0 0.053977526320189255
DP 256.0 0.05352626492643427
DP 257.0 0.053080513470932955
DP 258.0 0.05264018362826399
DP 259.0 0.05220518882369337
DP 260.0 0.05177544419188902
DP 261.0 0.05135086653676295
DP 262.0 0.05093137429240624
DP 263.0 0.050516887485083026
DP 264.0 0.05010732769625076
DP 265.0 0.04970261802657543
DP 266.0 0.04930268306091136
DP 267.0 0.04890744883421593
DP 268.0 0.048516842798371304
DP 269.0 0.04813079378988534
DP 270.0 0.047749231998445635
DP 271.0 0.04737208893630067
DP 272.0 0.04699929740844369
DP 273.0 0.04663079148357529
DP 274.0 0.046266506465821575
DP 275.0 0.04590637886718564
DP 276.0 0.045550346380710656
DP 277.0 0.04519834785433389
DP 278.0 0.04485032326541118
DP 279.0 0.04450621369589259
DP 280.0 0.04416596130813019
DP 281.0 0.043829509321299684
DP 282.0 0.04349680198841827
DP 283.0 0.04316778457394157
DP 284.0 0.042842403331922976
DP 285.0 0.04252060548471951
DP 286.0 0.04220233920222861
DP 287.0 0.04188755358164068
DP 288.0 0.041576198627693135
DP 289.0 0.04126822523341147
DP 290.0 0.04096358516132403
DP 291.0 0.04066223102513705
DP 292.0 0.040364116271857216
DP 293.0 0.04006919516434933
DP 294.0 0.03977742276431704
DP 295.0 0.039488754915695
DP 296.0 0.03920314822844107
DP 297.0 0.03892056006271782
DP 298.0 0.03864094851345237
DP 299.0 0.03836427239526474
DP 300.0 0.038056610599166055
DP 301.0 0.037745080987079044
