#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV):0.0013314055526200293 ph/cm^2/s


IP LOGLOG

DP 100.0  2.5814306233280095e-05
DP 109.854  1.9126803019585068e-05
DP 120.679  1.424625507292532e-05
DP 132.571  1.0675908806836254e-05
DP 145.635  8.04030031022859e-06
DP 159.986  6.054759473468602e-06
DP 175.751  4.591630282754558e-06
DP 193.07  3.488066194043326e-06
DP 212.095  2.6564530732861195e-06
DP 232.995  2.031539133443719e-06
DP 255.955  1.5646599589830214e-06
DP 281.177  1.2165580238767848e-06
DP 308.884  9.521366391782323e-07
DP 339.322  7.508209784054892e-07
DP 372.759  5.982977429068026e-07
DP 409.492  4.83202234202771e-07
DP 449.843  4.075791360992825e-07
DP 494.171  3.783191273542913e-07
DP 542.868  2.9214870459990864e-07
DP 596.362  2.0049357235923967e-07
DP 655.129  1.4063562218631733e-07
DP 719.686  1.072175572427814e-07
DP 790.604  8.202422590058003e-08
DP 868.511  6.271782796849788e-08
DP 954.095  4.7895220535006706e-08
DP 1048.11  3.651036987508757e-08
DP 1151.4  2.776622653914541e-08
DP 1264.86  2.1039070524752405e-08
DP 1389.5  1.5877734868135687e-08
DP 1526.42  1.1928471535891394e-08
DP 1676.83  8.908837788140593e-09
DP 1842.07  6.600393832357846e-09
DP 2023.59  4.827754396229663e-09
DP 2223.0  3.506011365112545e-09
DP 2442.05  2.519681752965718e-09
DP 2682.7  1.7905245052916952e-09
DP 2947.05  1.2584816281198733e-09
DP 3237.46  8.755659438889081e-10
DP 3556.48  5.981975213162174e-10
DP 3906.94  4.026071161137873e-10
DP 4291.93  2.671675536136936e-10
DP 4714.87  1.7478218972278818e-10
DP 5179.47  1.1271444041993391e-10
DP 5689.87  7.158784231533584e-11
DP 6250.55  4.4838558775201887e-11
DP 6866.49  2.7789163314960592e-11
DP 7543.12  1.706481262224878e-11
DP 8286.43  1.0396936866202378e-11
DP 9102.98  6.292483989822919e-12
DP 10000.0  3.79896024e-12
EN
