#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.00188 ph/cm^2/s


IP LINLIN

DP     1.00000e+02    3.23563e-05
DP     1.09854e+02    2.57427e-05
DP     1.20679e+02    2.04272e-05
DP     1.32571e+02    1.61539e-05
DP     1.45635e+02    1.27208e-05
DP     1.59986e+02    9.96709e-06
DP     1.75751e+02    7.76386e-06
DP     1.93070e+02    6.00713e-06
DP     2.12095e+02    4.61257e-06
DP     2.32995e+02    3.51149e-06
DP     2.55955e+02    2.64770e-06
DP     2.81177e+02    1.97517e-06
DP     3.08884e+02    1.45610e-06
DP     3.39322e+02    1.05946e-06
DP     3.72759e+02    7.59787e-07
DP     4.09492e+02    5.36261e-07
DP     4.49843e+02    3.71921e-07
DP     4.94171e+02    2.53029e-07
DP     5.42868e+02    1.68554e-07
DP     5.96362e+02    1.09725e-07
DP     6.55129e+02    6.96582e-08
DP     7.19686e+02    4.30337e-08
DP     7.90604e+02    2.58159e-08
DP     8.68511e+02    1.50085e-08
DP     9.54095e+02    8.44218e-09
DP     1.04811e+03    4.59096e-09
DP     1.15140e+03    2.41581e-09
DP     1.26486e+03    1.23486e-09
DP     1.38950e+03    6.18709e-10
DP     1.52642e+03    3.08960e-10
DP     1.67683e+03    1.57708e-10
DP     1.84207e+03    8.47372e-11
DP     2.02359e+03    4.89390e-11
DP     2.22300e+03    3.04085e-11
DP     2.44205e+03    1.99855e-11
DP     2.68270e+03    1.35916e-11
DP     2.94705e+03    9.40361e-12
DP     3.23746e+03    6.55407e-12
DP     3.55648e+03    4.58042e-12
DP     3.90694e+03    3.20386e-12
DP     4.29193e+03    2.24152e-12
DP     4.71487e+03    1.56833e-12
DP     5.17947e+03    1.09732e-12
DP     5.68987e+03    7.67770e-13
DP     6.25055e+03    5.37191e-13
DP     6.86649e+03    3.75861e-13
DP     7.54312e+03    2.62981e-13
DP     8.28643e+03    1.84002e-13
DP     9.10298e+03    1.28742e-13
DP     1.00000e+04    9.00780e-14
